Condition,Rep,cent_CP110
Control,1,0.169934643
Control,1,0.165309206
Control,1,0.177777784
Control,1,0.22514418
Control,1,0.163880293
Control,1,0.16720143
Control,1,0.153266333
Control,1,0.199120605
Control,1,0.163819098
Control,1,0.153073057
Control,1,0.211613624
Control,1,0.18994975
Control,1,0.240740738
Control,1,0.227572015
Control,1,0.161918326
Control,1,0.207977203
Control,1,0.151234568
Control,1,0.203703699
Control,1,0.221099884
Control,1,0.143604652
Control,1,0.15661337
Control,1,0.154796511
Control,1,0.210196781
Control,1,0.186600222
Control,1,0.165891473
Control,1,0.23850575
Control,1,0.177750412
Control,1,0.205459769
Control,1,0.196839081
Control,1,0.23390805
Control,1,0.184597293
Control,1,0.268237928
Control,1,0.169753084
Control,1,0.234567896
Control,1,0.203703706
Control,1,0.162566849
Control,1,0.164102571
Control,1,0.177183606
Control,1,0.173420485
Control,1,0.1540107
Control,1,0.161437915
Control,1,0.208144802
Control,1,0.218736387
Control,1,0.188671027
Rab10kd,1,0.140740745
Rab10kd,1,0.098340878
Rab10kd,1,0.18474946
Rab10kd,1,0.12972028
Rab10kd,1,0.118560608
Rab10kd,1,0.138636366
Rab10kd,1,0.133806821
Rab10kd,1,0.177272734
Rab10kd,1,0.190909095
Rab10kd,1,0.178571432
Rab10kd,1,0.187500002
Rab10kd,1,0.122663553
Rab10kd,1,0.191039035
Rab10kd,1,0.180645158
Rab10kd,1,0.162428839
Rab10kd,1,0.167741934
Rab10kd,1,0.1544086
Rab10kd,1,0.138235298
Rab10kd,1,0.157843141
Rab10kd,1,0.150445638
Rab10kd,1,0.195475119
Rab10kd,1,0.119073086
Rab10kd,1,0.14481793
Rab10kd,1,0.162594273
Rab10kd,1,0.190326803
Rab10kd,1,0.165062392
Rab10kd,1,0.162091508
Rab10kd,1,0.186405236
Rab10kd,1,0.214901968
Rab10kd,1,0.149673207
Rab10kd,1,0.154509807
Rab10kd,1,0.122189639
Rab10kd,1,0.199372756
Rab10kd,1,0.146236558
Rab10kd,1,0.128584228
Rab10kd,1,0.104301075
Rab10kd,1,0.15860215
Rab10kd,1,0.127162078
Rab10kd,1,0.237668164
Rab10kd,1,0.13605442
Rab10kd,1,0.189610384
Rab10kd,1,0.149350648
Rab10kd,1,0.14393939
Rab10kd,1,0.166233765
Rab10kd,1,0.15034965
Rab10kd,1,0.158132528
Rab10kd,1,0.124315445
Rab10kd,1,0.180722895
Rab10kd,1,0.151807232
Rab10kd,1,0.138090825
Rab10kd,1,0.13761468
Rab10kd,1,0.176032117
Rab10kd,1,0.157492361
Rab10kd,1,0.150356783
Rilpl1kd,1,0.075205255
Rilpl1kd,1,0.101688955
Rilpl1kd,1,0.126063592
Rilpl1kd,1,0.141762453
Rilpl1kd,1,0.140249205
Rilpl1kd,1,0.122800848
Rilpl1kd,1,0.160098526
Rilpl1kd,1,0.144510579
Rilpl1kd,1,0.168320103
Rilpl1kd,1,0.20987654
Rilpl1kd,1,0.184429326
Rilpl1kd,1,0.138047139
Rilpl1kd,1,0.13834422
Rilpl1kd,1,0.109150323
Rilpl1kd,1,0.061624648
Rilpl1kd,1,0.1782135
Rilpl1kd,1,0.226143778
Rilpl1kd,1,0.105508867
Rilpl1kd,1,0.147310202
Rilpl1kd,1,0.156623001
Rilpl1kd,1,0.158793174
Rilpl1kd,1,0.168558955
Rilpl1kd,1,0.155920886
Rilpl1kd,1,0.175344309
Rilpl1kd,1,0.193595345
Rilpl1kd,1,0.144654091
Rilpl1kd,1,0.143396226
Rilpl1kd,1,0.227672955
Rilpl1kd,1,0.148656376
Rilpl1kd,1,0.169239564
Rilpl1kd,1,0.228130363
Rilpl1kd,1,0.124676283
Rilpl1kd,1,0.207142855
Rilpl1kd,1,0.22207792
Rilpl1kd,1,0.164502161
Rilpl1kd,1,0.162364128
Rilpl1kd,1,0.180183949
Rilpl1kd,1,0.277950308
Rilpl1kd,1,0.13215103
Rilpl1kd,1,0.198578596
Rilpl1kd,1,0.172374425
Rilpl1kd,1,0.370916744
Rilpl1kd,1,0.217597464
Rilpl1kd,1,0.244863009
Rilpl1kd,1,0.165495708
Rilpl1kd,1,0.153369765
Rilpl1kd,1,0.160746815
Rilpl1kd,1,0.188524593
Rilpl1kd,1,0.249089258
Rilpl1kd,1,0.148148149
Rilpl1kd,1,0.172364676
Rilpl1kd,1,0.239316243
Control,2,0.202205888
Control,2,0.185882358
Control,2,0.149953318
Control,2,0.253501408
Control,2,0.248583884
Control,2,0.276470595
Control,2,0.195860571
Control,2,0.246717825
Control,2,0.245989312
Control,2,0.233333339
Control,2,0.240422331
Control,2,0.13930906
Control,2,0.28575164
Control,2,0.269542487
Control,2,0.262091508
Control,2,0.24601308
Control,2,0.237707397
Control,2,0.26439629
Control,2,0.226928112
Control,2,0.316724344
Control,2,0.22445214
Control,2,0.176960789
Control,2,0.229803928
Control,2,0.282913176
Control,2,0.212854036
Control,2,0.182698967
Control,2,0.277224746
Control,2,0.184033618
Control,2,0.203921573
Control,2,0.243790858
Control,2,0.195798325
Control,2,0.161609911
Control,2,0.173333338
Control,2,0.21157797
Control,2,0.245751642
Control,2,0.195098045
Control,2,0.200000005
Control,2,0.247058831
Control,2,0.203921573
Control,2,0.232352947
Control,2,0.259426856
Control,2,0.262745107
Control,2,0.185204997
Control,2,0.202998851
Control,2,0.316078436
Control,2,0.247981551
Control,2,0.244947216
Control,2,0.196638661
Control,2,0.199587209
Control,2,0.228921576
Control,2,0.161960789
Control,2,0.229927768
Control,2,0.219281051
Control,2,0.249554374
Control,2,0.257041005
Control,2,0.262745105
Control,2,0.21078432
Control,2,0.290366589
Control,2,0.142745102
Control,2,0.135190923
Control,2,0.209803927
Control,2,0.178582206
Control,2,0.146623097
Control,2,0.199769324
Control,2,0.344852949
Rab10kd,2,0.136429313
Rab10kd,2,0.129150329
Rab10kd,2,0.149859949
Rab10kd,2,0.157324111
Rab10kd,2,0.156243553
Rab10kd,2,0.186452769
Rab10kd,2,0.189460789
Rab10kd,2,0.241769542
Rab10kd,2,0.187647063
Rab10kd,2,0.137967919
Rab10kd,2,0.239651422
Rab10kd,2,0.130565172
Rab10kd,2,0.176470593
Rab10kd,2,0.157983198
Rab10kd,2,0.13471742
Rab10kd,2,0.144117652
Rab10kd,2,0.155991289
Rab10kd,2,0.184313732
Rab10kd,2,0.170457522
Rab10kd,2,0.161437913
Rab10kd,2,0.198879558
Rab10kd,2,0.212009809
Rab10kd,2,0.187394963
Rab10kd,2,0.20557276
Rab10kd,2,0.260249562
Rab10kd,2,0.162745101
Rab10kd,2,0.133893561
Rab10kd,2,0.191443856
Rab10kd,2,0.112156866
Rab10kd,2,0.148717954
Rab10kd,2,0.122549023
Rab10kd,2,0.13176471
Rab10kd,2,0.111418687
Rab10kd,2,0.116806725
Rab10kd,2,0.166993468
Rab10kd,2,0.190522882
Rab10kd,2,0.132107847
Rab10kd,2,0.14803922
Rab10kd,2,0.161519613
Rab10kd,2,0.130237362
Rab10kd,2,0.166013076
Rab10kd,2,0.203431378
Rab10kd,2,0.170588239
Rab10kd,2,0.188004619
Rab10kd,2,0.193137261
Rab10kd,2,0.208627456
Rab10kd,2,0.137009807
Rab10kd,2,0.201960789
Rab10kd,2,0.460539226
Rab10kd,2,0.231652668
Rab10kd,2,0.208304505
Rab10kd,2,0.193837539
Rilpl1kd,2,0.176692967
Rilpl1kd,2,0.143467647
Rilpl1kd,2,0.157365511
Rilpl1kd,2,0.15574549
Rilpl1kd,2,0.22364673
Rilpl1kd,2,0.164867298
Rilpl1kd,2,0.152097906
Rilpl1kd,2,0.156898662
Rilpl1kd,2,0.150590153
Rilpl1kd,2,0.178632481
Rilpl1kd,2,0.202686208
Rilpl1kd,2,0.17035547
Rilpl1kd,2,0.187167453
Rilpl1kd,2,0.178650857
Rilpl1kd,2,0.257474677
Rilpl1kd,2,0.241603475
Rilpl1kd,2,0.25766363
Rilpl1kd,2,0.168166096
Rilpl1kd,2,0.156676008
Rilpl1kd,2,0.144771245
Rilpl1kd,2,0.148235299
Rilpl1kd,2,0.177450985
Rilpl1kd,2,0.253071903
Rilpl1kd,2,0.209457907
Rilpl1kd,2,0.167595463
Rilpl1kd,2,0.22100841
Rilpl1kd,2,0.254901967
Rilpl1kd,2,0.214901967
Rilpl1kd,2,0.237690639
Rilpl1kd,2,0.297577862
Rilpl1kd,2,0.153633223
Rilpl1kd,2,0.262254911
Rilpl1kd,2,0.153501404
Rilpl1kd,2,0.143021918
Rilpl1kd,2,0.118300656
Rilpl1kd,2,0.165359482
Rilpl1kd,2,0.177058828
Rilpl1kd,2,0.168366017
Rilpl1kd,2,0.21499424
Rilpl1kd,2,0.206099364
Rilpl1kd,2,0.261682247
Rilpl1kd,2,0.189664654
Rilpl1kd,2,0.263434583
Rilpl1kd,2,0.314067888
Rilpl1kd,2,0.176034864
Rilpl1kd,2,0.160784318
Rilpl1kd,2,0.282352948
Rilpl1kd,2,0.213071903
Rilpl1kd,2,0.155436724
Rilpl1kd,2,0.145686279
Rilpl1kd,2,0.168067232
Rilpl1kd,2,0.155147064
Rilpl1kd,2,0.213574666
Rilpl1kd,2,0.177516345
Rilpl1kd,2,0.184509809
Rilpl1kd,2,0.17435898
